id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
70820,City View - Sarah's double room.,360195,Sarah,,Windmill Hill,51.43994,-2.59173,Private room,30,2,154,2020-10-09,1.80,2,85
117122,City Centre-Waterside Retreat,591555,Marcus,,Clifton,51.45051,-2.61054,Private room,66,1,143,2020-09-23,1.26,1,365
176306,The White Room -  Central Bristol Art House Garden,708175,Orla,,Bedminster,51.44101,-2.60121,Private room,29,21,39,2020-08-28,0.40,1,22
307634,Peaceful Safe Home & Clear Space 'The Lilac Room',1582810,Wendy,,Easton,51.46641,-2.55533,Private room,30,7,21,2020-09-12,0.51,2,180
322906,HUGE Room CENTRAL location House,1156132,Sue And Toby,,Ashley,51.46668,-2.58274,Private room,69,2,80,2018-09-30,0.90,2,88
341227,Listed Georgian house in the heart of Bristol.,237360,Samantha,,Ashley,51.46661,-2.58709,Entire home/apt,336,2,79,2020-08-31,0.76,1,0
390781,Cosy large room near TV studios & Paintworks,1954565,Fiona,,Brislington West,51.44429,-2.55777,Private room,28,2,33,2020-10-02,0.32,1,43
399681,Historic Trym House - five star!,1941316,Kevin & Lesley,,Westbury-on-Trym & Henleaze,51.49508,-2.61715,Private room,72,2,59,2020-10-11,0.59,1,84
407485,Bristol Luxury Garden Apartment,2029719,Ingrid,,Ashley,51.46941,-2.58166,Entire home/apt,93,2,255,2020-09-30,2.47,1,333
421205,The dog lovers haven,2094659,Lis,,Ashley,51.46547,-2.58458,Private room,26,1,152,2020-10-01,1.51,1,275
422956,Modern inner city 3 bed eco house,2103297,Lois,,Redland,51.47331,-2.60598,Entire home/apt,180,2,323,2020-10-11,3.12,2,1
554813,Central Double Room With Your Own Bathroom,2727252,Rich & Ray,,Lawrence Hill,51.45591,-2.57803,Private room,43,1,190,2020-03-12,1.88,1,113
753655,Edwardian house in central Bristol,3647954,Cath,,Southville,51.44553,-2.60413,Private room,51,1,270,2020-03-08,2.84,3,239
758894,"Luxury Clifton Village, internet, parking permits",3996407,Joanna,,Clifton,51.45524,-2.62168,Entire home/apt,125,3,385,2020-10-16,3.98,1,345
868888,Large double room with breakfast,4577089,Rohan,,Eastville,51.47305,-2.54617,Private room,22,7,9,2020-03-01,0.29,2,299
870076,Cosy Single Bedroom in Southville,3647954,Cath,,Southville,51.44593,-2.60309,Private room,39,1,159,2020-03-18,1.70,3,239
897555,Cosy nicely lit room in Bedminster,3271882,Gwen,,Southville,51.44161,-2.59864,Private room,28,2,146,2020-03-14,1.55,2,337
942226,BnB in Barn with 2 ensuite Bedrooms,2103297,Lois,,Redland,51.47513,-2.60474,Entire home/apt,120,2,232,2020-10-11,2.61,2,331
979236,large ensuite with seating area,1156132,Sue And Toby,,Ashley,51.46665,-2.58284,Private room,69,1,166,2019-12-08,2.03,2,88
995235,Clifton Towers Bristol B and B,5466703,Marie,,Clifton,51.45308,-2.61544,Private room,46,1,265,2020-10-24,3.12,1,353
1033484,Tranquil Room near City Centre,5687726,Joanne,,Ashley,51.46307,-2.57982,Private room,37,2,309,2020-03-11,3.37,2,254
1096853,"Lovely quiet, clean, Double Bed+Single, with tv",487598,Maggie,,Easton,51.46907,-2.56077,Private room,28,1,396,2020-10-07,4.40,3,49
1096947,"Lovely quiet, clean, cosy room, Double Bed, tv",487598,Maggie,,Easton,51.46922,-2.56105,Private room,27,1,352,2020-03-20,3.92,3,51
1166104,Private room in ‘Garden Square' Georgian townhouse,6386989,Anne + Iain,,Clifton,51.45169,-2.62087,Private room,35,3,73,2020-04-02,0.81,2,0
1180148,"Large quiet light room, Totterdown",6456324,Gavin,,Knowle,51.43859,-2.56536,Private room,40,1,14,2020-10-16,0.15,2,312
1182074,Kingsize bed room in Shirehampton,6466360,Rebecca,,Avonmouth & Lawrence Weston,51.48503,-2.67242,Private room,25,1,12,2020-10-21,1.23,2,359
1258955,Small double room in Bedminster,3271882,Gwen,,Southville,51.4402,-2.59772,Private room,31,2,78,2019-10-14,0.87,2,337
1260621,Quiet Double With Ensuite In An Old Jeweller Shop,6865698,Kirsty,,Ashley,51.46465,-2.58947,Private room,29,1,218,2020-03-17,2.60,2,288
1329265,"Excellent central location, perfect for visitors",7144675,Stephanie,,Lawrence Hill,51.45952,-2.57379,Private room,36,2,196,2020-03-22,2.22,1,174
1457693,Cosy single room with breakfast,4577089,Rohan,,Eastville,51.47371,-2.54602,Private room,20,20,14,2020-09-30,0.16,2,345
1509615,Amazing location centre of Bristol,7607380,Jerry And Jacqui,,Hotwells & Harbourside,51.44786,-2.60234,Private room,50,1,549,2020-10-25,6.34,3,349
1623879,Homestay - Single Room in Bristol,8635028,John,,Henbury & Brentry,51.51255,-2.60012,Private room,22,3,130,2020-10-02,1.51,1,359
1882491,Double room in Redland 3 :),8256363,Catrin,,Clifton Down,51.46629,-2.60756,Private room,23,2,33,2020-08-30,0.48,2,300
1906645,"Sunny, stylish home-great location- Free Parking",9487977,Abi,,Cotham,51.46669,-2.59684,Entire home/apt,100,2,39,2020-10-05,0.76,2,58
2164660,Lovely light attic room,5905890,Stella,,Easton,51.46988,-2.56336,Private room,30,1,181,2020-09-17,2.29,2,122
2235568,A Cool Place in Montpelier !,11413122,Tony,,Ashley,51.46774,-2.58777,Private room,32,2,256,2020-10-10,3.18,3,154
2404407,Brooklyn-Style Art Loft With Balcony & Free Prk,11141720,Mike And Phil,,Brislington West,51.44337,-2.56794,Entire home/apt,141,1,89,2020-08-27,1.11,6,12
2446524,A home away from home!,12510269,Namrata,,Clifton,51.46097,-2.62344,Private room,35,1,16,2018-07-20,0.42,2,298
2523293,A stay in a home from home!,12510269,Namrata,,Clifton,51.46098,-2.62405,Private room,32,1,114,2020-10-16,1.46,2,352
2530244,Beautiful flat in Clifton,2387022,Naomi,,Clifton Down,51.46739,-2.61508,Entire home/apt,60,1,14,2018-08-08,0.18,2,83
2548956,"Huge, bright, spacious double room",13019736,Jody,,Southmead,51.50372,-2.59014,Private room,32,1,261,2020-10-14,5.79,2,90
2655363,Comfortable home in central Bristol,3647954,Cath,,Southville,51.4463,-2.60346,Entire home/apt,80,2,6,2020-10-19,1.82,3,53
2780689,"Comfortable, light single room",5905890,Stella,,Easton,51.47066,-2.56357,Private room,25,1,260,2020-09-17,3.30,2,23
2819807,Small bright room in Clifton,14425470,Nuccia,,Clifton,51.45851,-2.62321,Private room,29,2,299,2020-03-12,3.82,1,84
3118604,Quiet Modern Flat 5 mins from Temple Meads,15845284,Sam,,Lawrence Hill,51.45221,-2.57869,Entire home/apt,76,1,219,2020-10-11,3.30,1,350
3365141,Quiet + large ensuite double room,7588995,Olivia,,Ashley,51.46816,-2.58244,Private room,40,1,330,2020-10-11,4.27,1,359
3457246,lovely single room in quiet house,17422981,Kath,,Stockwood,51.41164,-2.55671,Private room,18,7,34,2020-03-01,0.45,1,240
3468287,Double-bedroom to rent near city centre,17474076,Monica,,Lawrence Hill,51.46052,-2.56626,Private room,18,90,87,2020-03-29,1.39,1,282
3490531,Modern Clifton Town House,650181,Jeremy,,Clifton Down,51.46692,-2.60854,Private room,44,3,11,2019-10-25,0.15,1,84
3490779,"Lovely large, quiet, clean room, Double Bed, sofa",487598,Maggie,,Easton,51.46796,-2.56088,Private room,29,1,295,2020-03-23,3.84,3,49
3545386,Large terraced apartment in the heart of Clifton,3949983,Jo And Andrew,,Clifton,51.45226,-2.62484,Entire home/apt,350,2,17,2019-11-03,0.40,1,313
3620755,Lovely flat in central Bristol,18241415,Joseph,,Hotwells & Harbourside,51.45292,-2.60446,Entire home/apt,73,2,355,2020-03-30,4.68,1,238
3635586,"Bright and airy 1-bed flat, nr Clifton & BBC",18332468,Zanna,,Clifton Down,51.46653,-2.61032,Entire home/apt,89,4,72,2020-09-24,0.97,1,55
3879902,Tranquil City Centre Double Room,5687726,Joanne,,Lawrence Hill,51.46306,-2.57796,Private room,46,2,135,2019-12-15,1.79,2,362
3906876,Luxury Harbour Side Apartment,20235167,Robert,,Hotwells & Harbourside,51.44923,-2.60908,Entire home/apt,232,2,38,2020-10-05,0.52,1,365
3960179,FABULOUS!!!,20522861,Peter,,Avonmouth & Lawrence Weston,51.49699,-2.6466,Entire home/apt,130,2,1,2016-04-27,0.02,2,358
4086139,"Beautiful room and bathroom, central location",21194896,Sue,,Cotham,51.46225,-2.59804,Private room,50,2,609,2020-10-09,8.17,1,40
4130880,Cosy double room. Free  parking. Breakfast.,21295528,Helen,,Southville,51.44062,-2.60893,Private room,32,28,220,2019-10-21,3.22,2,312
4207614,Room in modern flat near centre,7529286,Jen,,Southville,51.44538,-2.59276,Private room,43,2,161,2020-03-16,2.84,1,89
4315598,Amazing location  Heart of Bristol,7607380,Jerry And Jacqui,,Hotwells & Harbourside,51.44695,-2.6032,Private room,50,1,328,2020-10-11,4.47,3,350
4466441,A piece of country in the city!,9253023,Suzan,,Eastville,51.47924,-2.54673,Private room,25,1,89,2020-10-01,1.25,1,45
4521395,"Tranquil studio flat, easy access central Bristol",23421319,Ian,,Brislington East,51.45166,-2.54502,Entire home/apt,51,2,110,2020-10-03,1.57,1,339
4542428,Comfortable loft room in Horfield!,23554690,Chandra,,Horfield,51.48854,-2.5853,Private room,35,1,42,2019-06-06,0.58,1,297
4543852,Cosy Eco-Cabin with lake views,23560849,Ruby,,Eastville,51.47682,-2.55623,Entire home/apt,50,2,403,2020-10-03,5.56,2,76
4570407,Private Room with private bath in Central Bristol,5092392,Lydia,,Ashley,51.4605,-2.58592,Private room,55,7,31,2020-02-15,0.48,1,172
4592103,Luxurious Maisonette,23701375,Erik,,Horfield,51.4911,-2.58351,Entire home/apt,119,2,94,2020-10-04,1.31,1,357
5027387,Franks Place,24770635,Kerry,,Stoke Bishop,51.47473,-2.62571,Entire home/apt,132,2,98,2020-01-12,1.40,1,292
5142750,City centre living.,26587090,Tom,,Central,51.45513,-2.58535,Entire home/apt,100,2,0,,,1,178
5267860,Central Bristol - An excellent garden flat,27267193,Catherine,,Redland,51.4697,-2.59458,Entire home/apt,70,1,129,2020-10-04,2.50,1,313
5295347,Gorgeous flat in Heart of Clifton,19389644,Jules,,Clifton Down,51.45888,-2.61033,Entire home/apt,76,3,346,2020-09-18,5.06,1,196
5393069,Two bed flat Clifton+Balcony+Parkng,27954975,Johnie,,Clifton Down,51.4583,-2.60922,Entire home/apt,76,2,311,2020-10-11,4.66,3,357
