id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
34220,Room available,147438,Mark,,Capital,45.40924,-75.679,Private room,202,7,0,,,1,1
36642,City Conveniences A Country Setting,157787,Donna,,Kitchissippi,45.40159,-75.74679,Private room,65,3,87,2020-02-17,0.69,1,364
59258,Lower level of my house to rent,284351,Elena,,Bay,45.359,-75.80314,Entire home/apt,200,3,1,2011-07-04,0.01,1,0
158824,DOWNTOWN/GLEBE HOUSE WITH BACKYARD,87296,Luc,,Capital,45.40248,-75.69941,Entire home/apt,140,3,7,2015-08-30,0.06,1,0
261065,Westboro Village Executive Suite,1369632,Glenn,,Kitchissippi,45.38972,-75.75496,Entire home/apt,150,3,64,2020-09-15,0.59,1,354
336692,Quiet Room with a view in the Ottawa Downtown,1712975,Elena,,Somerset,45.41557,-75.70551,Private room,69,1,9,2019-08-31,0.22,1,352
365499,"Centrally - located Private Room, for females ONLY",1356353,Anna,,Capital,45.40546,-75.6928,Private room,44,1,170,2020-09-28,1.68,1,333
413300,Loft-style 2 BR in ByWard Market,1707813,Geoffrey,,Rideau-Vanier,45.43399,-75.69105,Entire home/apt,90,2,44,2020-03-01,0.54,1,0
490182,Basement Studio - Old Ottawa East,2401179,Ela,,Capital,45.40453,-75.67695,Private room,35,7,8,2020-08-30,0.26,1,50
674799,"Half-basement apt. guest private entrance, 3-bdrm",2058676,William,,Gloucester-South Nepean,45.26725,-75.72269,Private room,48,2,42,2019-10-14,0.47,1,363
678641,Lovely private bed/bath -Centretown (private home),3453855,Kate & Dan,,Somerset,45.4082,-75.69908,Private room,65,4,126,2020-01-31,1.27,1,74
682632,"Adorable 2 bdrm, Central Ottawa PD1",3201295,Greg And Valerie,,Kitchissippi,45.40269,-75.73023,Entire home/apt,83,30,6,2019-08-06,0.10,7,263
682634,Highly desirable Ottawa neighbourhood!,3201295,Greg And Valerie,,Kitchissippi,45.40097,-75.73203,Entire home/apt,96,30,3,2020-08-04,0.04,7,258
685334,Family Home in Ottawa's Hintonburg,3495367,Ben,,Kitchissippi,45.39946,-75.72498,Entire home/apt,239,3,4,2017-07-03,0.04,1,0
764035,1Bedroom + Den Luxury Condo DOWNTOWN Parliament,4027790,Paul,,Rideau-Vanier,45.42911,-75.68606,Entire home/apt,60,180,39,2020-04-30,0.42,1,84
793593,"Charming Home in Byward Market, Downtown Ottawa",4180945,Lynda,,Rideau-Vanier,45.43218,-75.69176,Entire home/apt,156,2,150,2020-10-12,1.59,1,365
875133,"Progressive, Eco-friendly, Central",4606697,Angela,,Capital,45.40469,-75.69298,Private room,97,1,117,2019-11-17,1.24,3,0
902575,Room for rent Downtown Ottawa R,3895093,Nicole,,Somerset,45.41938,-75.69505,Private room,75,90,8,2017-05-06,0.09,1,90
943979,Smart flat near Center&Glebe+Garage,5108859,Maria And Jim,,Somerset,45.41127,-75.69575,Entire home/apt,93,27,289,2020-08-31,3.16,2,183
987450,Central New condo w Balcony/Garage!,5108859,Maria And Jim,,Somerset,45.41161,-75.69629,Entire home/apt,90,28,311,2020-08-22,3.42,2,0
1026310,Lakehouse Inspired Retreat Close to Downtown,5649683,Melanie,,Rideau-Rockcliffe,45.45578,-75.65653,Entire home/apt,550,5,16,2020-08-23,0.30,1,232
1038420,Walk the City from Charming Home,5716841,Phil And Jane,,Somerset,45.41195,-75.71027,Private room,69,4,399,2020-08-26,4.39,1,327
1097429,Centretown 2BD + private bath,2282184,Kate & Erik,,Somerset,45.40953,-75.70138,Private room,79,30,112,2015-07-20,1.24,1,0
1113071,Home in Ottawa's BEST neighbourhood,6108821,Sarah,,Kitchissippi,45.40703,-75.7276,Entire home/apt,199,3,19,2019-08-18,0.21,1,325
1135469,Furnished Cozy Condo ByWard Market,6228943,Claudine,,Rideau-Vanier,45.42932,-75.6834,Entire home/apt,99,5,89,2020-03-02,0.98,1,357
1151370,Retro Chic Teak with an Ottawa Host Family,1755714,Janice And Garry,,College,45.3475,-75.78425,Private room,49,3,40,2020-10-03,0.46,2,0
1225070,Architectural Home Near Dows Lake,6682570,Craig & Rachel,,Kitchissippi,45.40026,-75.71411,Entire home/apt,275,3,11,2019-08-24,0.13,1,0
1242836,Glebe - Family Suite welcomes you,4606697,Angela,,Capital,45.40464,-75.69143,Private room,120,1,73,2019-11-18,0.82,3,0
1247877,HEART OF MARKET-Summer in Ottawa!- Relaxing Patio!,6800077,Andrew,,Rideau-Vanier,45.42951,-75.68775,Entire home/apt,75,30,170,2019-08-27,1.91,1,78
1450947,Modern Pristine 3BD w Parking,7354245,Lisa,,Kitchissippi,45.40011,-75.72633,Entire home/apt,399,21,104,2020-08-21,1.19,40,365
1520644,"Be welcome, relax, be the change",4606697,Angela,,Capital,45.40268,-75.69189,Private room,97,1,139,2020-03-16,1.73,3,0
1574060,Artist's Friendly Home Studio,4260612,Lynette,,Kitchissippi,45.40128,-75.73402,Private room,58,7,167,2020-03-15,1.92,1,362
1587517,"Bright, Stunning Water View & Free Parking!",1122578,Claudia,,Bay,45.35164,-75.79754,Entire home/apt,60,180,20,2017-08-31,0.27,1,203
1605104,Private room in Nepean/Ottawa near local transit.,7088882,Craig,,River,45.35831,-75.69981,Private room,60,1,1,2017-07-03,0.02,1,177
1617217,DOWS LAKE PENTHOUSE - 2 BDRMS + DEN,8605715,Andy,,Kitchissippi,45.39723,-75.7125,Entire home/apt,199,30,47,2017-04-14,0.57,1,40
1641234,Cozy room near Ottawa Airport,8713727,Mary,,Gloucester-South Nepean,45.32437,-75.60155,Private room,55,5,28,2020-08-31,0.33,2,356
1650642,Private Rooms in townhouse,658040,Sharique,,Gloucester-South Nepean,45.28461,-75.71491,Private room,32,1,6,2016-06-27,0.11,1,0
1656607,"Warm,Comfy room near Ottawa Airport",8713727,Mary,,Gloucester-South Nepean,45.32336,-75.60068,Private room,47,5,38,2020-09-26,0.44,2,1
1676024,Summertime in Ottawa,7494505,Amy,,Kitchissippi,45.40266,-75.71759,Entire home/apt,220,2,5,2019-06-23,0.07,1,0
1732533,Private clean bedroom & bathroom,9123239,Mariana,,Gloucester-South Nepean,45.27443,-75.70581,Private room,52,2,105,2019-12-16,1.23,1,14
1774018,Zen Tranquility Retreat,294136176,Vania,,Barrhaven,45.25203,-75.74489,Entire home/apt,152,4,10,2020-09-24,0.75,1,160
1823110,Heart of Ottawa! Walk every where!,8805607,Karen,,Somerset,45.41577,-75.68608,Private room,36,2,254,2019-12-17,2.99,1,291
1827668,Centrally located 3 bedroom home in Westboro!,6818912,Anne-Marie,,Kitchissippi,45.39533,-75.7582,Entire home/apt,189,30,61,2020-09-01,0.73,1,296
1908873,Mer Bleue Private Apartment,9905548,Nadine,,Cumberland,45.42898,-75.48811,Entire home/apt,69,2,99,2020-03-27,1.48,1,1
1950265,Full Executive Townhome,10085317,Mike,,Gloucester-South Nepean,45.28155,-75.67624,Entire home/apt,175,2,10,2016-08-10,0.16,1,0
2148350,Modern Spacious Executive Rental,10964947,Trevor,,College,45.34359,-75.78495,Entire home/apt,89,28,65,2020-07-26,0.93,3,355
2231697,Best Private Room/Bath in Byward,11390230,Meghan,,Rideau-Vanier,45.42493,-75.69181,Private room,93,1,144,2016-12-16,1.76,1,0
2294702,Sleep well. Cast Iron Double Bed,11722130,Andrea,,Rideau-Vanier,45.44036,-75.66556,Private room,60,2,24,2018-12-15,0.30,2,0
2316048,"Spacious, Bright, Modern 1B minutes from Airport!",11774711,Arezou,,Gloucester-South Nepean,45.27901,-75.67288,Private room,105,2,2,2017-07-03,0.05,1,364
2361265,Luxury Downtown 1 Bedroom Condo,5091315,Justyna,,Somerset,45.41671,-75.70046,Entire home/apt,120,60,51,2020-03-21,0.63,1,294
2374455,Charming Eurostyle apartment! PD2,3201295,Greg And Valerie,,Kitchissippi,45.40387,-75.73097,Entire home/apt,63,30,15,2019-07-30,0.24,7,296
2412859,One Bedroom Apt 6 Months,12331568,Marina,,Rideau-Vanier,45.43191,-75.68802,Entire home/apt,47,179,4,2016-05-07,0.07,1,6
2453778,Central Ottawa Micro Condo Studio,12547161,Evaldo,,Somerset,45.41073,-75.69637,Entire home/apt,57,30,288,2020-10-18,3.59,1,365
2474327,Private unit close to Rideau Canal,12656347,Diem,,Capital,45.40896,-75.67849,Entire home/apt,83,3,122,2020-10-19,1.62,1,167
2631572,Quiet retreat to relax and restore,1626558,N.C.,,Bay,45.35755,-75.79367,Entire home/apt,191,3,37,2020-08-09,0.47,2,263
2674916,Manor Park Terrace Home,8399820,Silvia,,Rideau-Rockcliffe,45.45253,-75.6501,Private room,35,2,24,2020-08-08,0.30,1,51
