id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
23163,"Quiet 1BR directly in the Centre, Air-conditioned 12",5282,Klara,,Praha 1,50.08229,14.41552,Entire home/apt,2776,1,20,22/08/2020,0.16,42,81
23169,M302-Cozy Serviced Studio in Center,5282,Klara,,Praha 1,50.08943,14.42373,Entire home/apt,2666,1,90,29/06/2020,0.93,42,0
26748,Apartment Great LETNA & Terrace,113902,Daniel+Bea,,Praha 7,50.10011,14.42567,Entire home/apt,1626,3,357,29/09/2020,2.92,3,337
26755,Central Prague Old Town Top Floor,113902,Daniel+Bea,,Praha 1,50.08569,14.43344,Entire home/apt,1394,3,252,06/09/2020,3.83,3,332
30762,R23-Elegant Serviced 86m2 | Center,5282,Klara,,Praha 1,50.08821,14.42623,Entire home/apt,3513,1,12,04/11/2019,0.1,42,61
33813,"Central, Sunny and Modern Studio Apartment",146052,Karen,,Praha 2,50.0724,14.44079,Entire home/apt,1030,2,190,20/08/2020,1.6,10,302
40726,"Classy Studio, ART NOUVEAU house",174245,Suzanna,,Praha 3,50.07912,14.45373,Entire home/apt,949,2,97,30/12/2019,0.8,3,0
40728,"Prime Location, Elegant Studio!",174245,Suzanna,,Praha 3,50.07871,14.45213,Entire home/apt,949,2,120,02/03/2020,0.98,3,0
42514,"""NEWLY FURNISHED"" 1BR near Pachtuv Palace,Old Town",185641,Victoria,,Praha 1,50.08365,14.41409,Entire home/apt,2307,3,321,03/01/2020,2.6,1,365
49874,Red Flavour by Ruterra,227945,Alex And Kate,,Praha 2,50.07137,14.43274,Entire home/apt,964,3,175,11/01/2020,1.44,84,0
55361,2 bedroom apartment in city centre,261432,David,,Praha 7,50.0995,14.42922,Hotel room,2168,3,6,05/01/2020,0.05,1,352
55856,Renovated Apartment behind National Museum,227945,Alex And Kate,,Praha 2,50.07832,14.43451,Entire home/apt,1060,2,211,30/08/2020,1.74,84,42
67612,Modern flat in the center of Prague,333807,Marco,,Praha 1,50.07849,14.42695,Entire home/apt,2865,2,188,01/03/2020,1.61,14,57
69335,Ruterra House with Garden by Metro,227945,Alex And Kate,,Praha 14,50.11289,14.55365,Entire home/apt,1509,3,133,27/02/2020,1.14,84,1
70003,Yellow Ruterra studio,227945,Alex And Kate,,Praha 3,50.08769,14.45164,Entire home/apt,1060,3,118,31/08/2020,1.02,84,49
74283,Grand Classic Two Bedroom Apartment,315332,Lubos & Marta,,Praha 1,50.08012,14.42193,Entire home/apt,2362,1,84,13/08/2020,0.81,28,323
74999,Two Bedroom Apartment Vodickova 2,315332,Lubos & Marta,,Praha 1,50.0806,14.42289,Entire home/apt,1911,1,42,30/08/2020,0.41,28,323
75009,Two Bedroom Apartment Vodickova 4,315332,Lubos & Marta,,Praha 1,50.07919,14.42159,Entire home/apt,1815,1,52,10/09/2020,0.46,28,315
75298,PRAGUE  STUDIO  OLD TOWN,398991,Emanuele,,Praha 1,50.09175,14.43323,Entire home/apt,623,3,18,29/08/2020,0.36,2,357
79373,M201-Stylish & Serviced in Centre,5282,Klara,,Praha 1,50.08964,14.42256,Entire home/apt,2428,1,34,03/11/2019,0.29,42,81
79725,B13-Huge Unique Serviced in Center,5282,Klara,,Praha 1,50.09097,14.41742,Entire home/apt,8707,1,36,01/03/2020,0.33,42,0
80273,2 bedroom apt 1min to Old Town sq.,174579,Petra,,Praha 1,50.08497,14.42132,Entire home/apt,4305,4,52,11/02/2020,0.51,4,1
80278,"Central,Spacious & Sunny apartment",174579,Petra,,Praha 2,50.0776,14.43125,Entire home/apt,1800,4,26,31/07/2020,0.23,4,338
81019,Fall Fantasy!!Contemp Center 2 BD/ 2BA BALCNY 85m2,438733,Renata,,Praha 2,50.07374,14.43431,Entire home/apt,1898,2,127,28/09/2020,1.61,11,247
81020,Fall Fantasy Spacious 75%OFF monthly 2 BD 2BA 1WC,438733,Renata,,Praha 2,50.07387,14.43227,Entire home/apt,2962,3,231,16/02/2020,2.03,11,198
83067,Charles Bridge Old Town Apartment 3,315332,Lubos & Marta,,Praha 1,50.08409,14.41352,Entire home/apt,1994,1,185,12/09/2020,1.63,28,318
83855,Charles Bridge Old Town Apartment 4,315332,Lubos & Marta,,Praha 1,50.08409,14.41352,Entire home/apt,2157,1,214,23/08/2020,2.11,28,327
83856,Charles Bridge Old Town Apartment 5,315332,Lubos & Marta,,Praha 1,50.08494,14.41423,Entire home/apt,2319,1,286,07/09/2020,2.48,28,327
84538,3 minutes walk to Charles Bridge,146052,Karen,,Praha 1,50.08984,14.40612,Entire home/apt,1138,2,306,02/03/2020,2.66,10,300
85790,Grande apartment 43 with River View,383698,Viktor,,Praha 2,50.07586,14.41487,Entire home/apt,1857,1,80,30/08/2020,0.72,28,326
