id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2737,"Elif's room in cozy, clean flat.",3047,Elif,,VIII Appia Antica,41.87218,12.48355,Private room,21,7,7,2015-05-28,0.10,5,365
2903,Stay a night in Calisto6 B&B Rome,3280,Andrea,,I Centro Storico,41.88826,12.47002,Private room,46,1,55,2017-10-31,0.38,3,2
3079,Cozy apartment  (2-4)with Colisseum  view,3504,Laura,,I Centro Storico,41.89503,12.49163,Entire home/apt,105,2,17,2018-10-01,0.14,6,365
11834,"Roma ""Charming Boschetto House""",44552,Serena,,I Centro Storico,41.89574,12.49058,Entire home/apt,90,2,142,2020-01-03,1.23,1,364
12398,Casa Donatello - Home far from Home,11756,Gea,,II Parioli/Nomentano,41.92584,12.46809,Entire home/apt,57,3,39,2015-07-19,0.32,2,328
14181,Beautiful apt close to the Vatican,51913,Ivan,,I Centro Storico,41.91485,12.45321,Private room,28,7,28,2019-02-27,0.22,1,89
15409,VATICAN SAN PIETRO 5min From Vatican,60352,Manuel,,XIII Aurelia,41.89538,12.45022,Entire home/apt,100,2,10,2020-03-13,1.32,3,1
16276,B&B Calisto6 great location in Rome,3280,Andrea,,I Centro Storico,41.88919,12.47107,Private room,47,1,6,2015-06-18,0.05,3,365
17604,2bdr Apartment 150mOstia Rome Beach,2330,Barbara,,X Ostia/Acilia,41.73469,12.2712,Entire home/apt,75,3,3,2019-04-30,0.04,3,75
19965,5 MIN WALK TO S.PETER'S BASILICA SQUARE 2 BEDROOMS,75450,Sasa,,I Centro Storico,41.90722,12.45199,Entire home/apt,91,3,55,2019-10-29,0.51,7,293
19967,ONLY 5 MIN WALK TO S.PETER'S BASILICA SQUARE 2 BDR,75450,Sasa,,I Centro Storico,41.90729,12.45408,Entire home/apt,93,3,31,2019-09-10,0.36,7,293
20534,Trastevere - Cedro 1 Terrace Apartment (1 Bedroom),77540,Sabrina,,I Centro Storico,41.88992,12.46823,Entire home/apt,124,3,45,2019-09-11,0.36,7,364
20587,Trastevere - Cedro 4 Terrace Apartment (2 Bedroom),77540,Sabrina,,I Centro Storico,41.88992,12.46823,Entire home/apt,170,3,58,2020-03-07,0.47,7,342
20606,"Your own home in St. Peter, Rome",77932,Giovanna,,XIII Aurelia,41.89689,12.45695,Entire home/apt,90,3,70,2020-10-21,0.57,3,360
20699,Vintage Suite w/ Private Bath & AC,78287,Frank & Soledad,,I Centro Storico,41.89291,12.50531,Private room,35,1,390,2020-09-30,3.16,8,361
21193,BLUE DOUBLE ROOM WITH TERRACE,80755,Marianna,,I Centro Storico,41.91029,12.44703,Private room,70,2,14,2019-11-12,0.11,4,365
21249,"B&B 830, 10 min. from everything! - ROME",81015,Emanuele,,VII San Giovanni/Cinecittà,41.86272,12.54795,Private room,45,3,107,2019-10-23,0.85,10,364
22335,4  Apartments in Navona square (unit 1),85707,Elena,,I Centro Storico,41.90028,12.46706,Entire home/apt,23,1,110,2020-07-26,1.94,4,346
22573,Splendido loft con pezzi di design nel cuore del Pigneto,86882,Francesco,,V Prenestino/Centocelle,41.89078,12.52634,Entire home/apt,70,28,101,2020-08-31,0.79,1,354
22930,Trastevere - Cedro 3 Terrace Apartment (1 Bedroom),77540,Sabrina,,I Centro Storico,41.88992,12.46823,Entire home/apt,124,3,64,2020-02-18,0.51,7,1
22931,Piazza Navona - Locazione Turistica Paolina,77540,Sabrina,,I Centro Storico,41.89998,12.46668,Entire home/apt,180,3,58,2019-12-27,0.52,7,1
25875,Your holiday next to St. Peter,77932,Giovanna,,XIII Aurelia,41.89689,12.45695,Entire home/apt,645,4,34,2019-01-02,0.28,3,0
26957,Calisto6 B&B in the heart of Rome,3280,Andrea,,I Centro Storico,41.88788,12.47151,Private room,47,1,12,2020-09-21,0.10,3,365
27816,*Rome CAMPO de FIORI Lovely Romantic Studio*,119186,Primarosa M.Rita,,I Centro Storico,41.89603,12.47174,Entire home/apt,68,2,135,2020-01-08,1.16,2,365
28929,"Luminous Apt. Trastevere, WiFi, Balcony, Lift",124415,Andrea,,I Centro Storico,41.88331,12.46576,Entire home/apt,107,3,20,2020-01-05,0.24,1,219
29606,"PROSECCO in the GARDEN, steps to VATICAN+COLOSSEUM",127506,Pino,,XII Monte Verde,41.87855,12.45142,Entire home/apt,50,1,137,2020-01-01,1.18,1,364
29902,Villa Lauretana for families/friend,128832,Loredana,,IX Eur,41.78628,12.53519,Entire home/apt,90,4,11,2019-05-05,0.15,1,364
31058,WellnessInnRome Shortlet 2 people,133372,Emanuela,,I Centro Storico,41.90706,12.50129,Private room,69,2,65,2019-10-29,0.52,4,354
31102,Rome cheap small cozy confy room,133321,Tiziana,,V Prenestino/Centocelle,41.87675,12.54166,Private room,14,3,169,2019-07-19,2.51,1,11
31430,IRIS - 12 MIN TO COLOSSEO BY METRO,135012,Angiola,,II Parioli/Nomentano,41.93152,12.51622,Private room,40,2,370,2020-02-28,2.98,3,96
31464,Warm Apartment with a Hi-Fi Stereo and Quaint Balcony,135112,Mario,,IV Tiburtina,41.9149,12.54632,Private room,49,2,391,2020-02-21,3.28,1,0
36223,da nonna maria b&b near center,155546,Micaela,,II Parioli/Nomentano,41.90896,12.51953,Private room,32,2,35,2019-07-28,0.29,2,365
37054,Anna Home at Roman Forum,160020,Lorenzo,,I Centro Storico,41.89484,12.48758,Entire home/apt,57,2,493,2020-02-14,4.01,7,0
37305,Casa Pariolina - Suite The Romantic,161114,Carla,,II Parioli/Nomentano,41.92293,12.48844,Private room,82,1,20,2019-09-29,0.27,3,365
37307,Casa Pariolina-Suite Villa Borghese,161114,Carla,,II Parioli/Nomentano,41.923,12.48781,Entire home/apt,86,1,25,2019-06-23,0.20,3,365
42829,*COLOSEUM Front* Opera Theater Apt*,119186,Primarosa M.Rita,,I Centro Storico,41.90071,12.49646,Entire home/apt,77,3,35,2019-11-03,0.35,2,365
43912,Beautiful countryside villa - Rome,192075,Rita,,XV Cassia/Flaminia,42.05602,12.48512,Entire home/apt,65,3,5,2019-05-01,0.04,1,364
